Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
449.32,X3.3380,,,,,,,10.21,1.48,119.3557047,2998,11.75838926,46.97986577,6.852348993,22.74496644,3.338,31.588,3.175,0,3.175,-1.5,0,Climb,3.1,4.5,1.5,10.42,15.63,Cut with Feed,3.175,Face Milling
450.8,G04,X1.0000,,,,,,6.26,0.88,0,2998,3.382022472,6.314606742,7.033707865,18.65168539,3.338,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
451.68,Y-31.5880,,,,,,,302.95,18.73,200.6478122,2998,17.74066169,16.67716115,16.16595518,21.48879402,3.338,-31.588,0,-63.176,63.176,-1.5,0,Conventional,3.2,63.2,1.5,192.78,289.17,Cut with Feed,63.176,Face Milling
470.41,G04,X1.0000,,,,,,9.29,1.19,0,2998,1.308333333,1.358333333,7.741666667,20.75833333,3.338,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
471.6,X6.5130,,,,,,,5.89,0.91,200.7934783,2998,14.73913043,45.2826087,6.402173913,19.72826087,6.513,-31.588,3.175,0,3.175,-1.5,0,Conventional,3.1,4.4,1.5,10.33,15.495,Cut with Feed,3.175,Face Milling
472.51,G04,X1.0000,,,,,,3.34,1.2,0,2998,3.611570248,4.809917355,2.760330579,27.37190083,6.513,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
473.71,Y31.5880,,,,,,,217.42,18.48,202.9296917,2998,18.29421309,27.26663061,11.75878853,17.61925365,6.513,31.588,0,63.176,63.176,-1.5,0,Climb,3.2,63.2,1.5,192.87,289.305,Cut with Feed,63.176,Face Milling
492.19,G04,X1.0000,,,,,,9.55,1.22,18.86178862,2998,1.06504065,4.967479675,7.764227642,25.69918699,6.513,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
493.41,X9.6880,,,,,,,4.73,0.91,200.7934783,2994.521739,14.76086957,50.09782609,5.141304348,21.70652174,9.688,31.588,3.175,0,3.175,-1.5,0,Climb,3.1,4.4,1.5,10.2,15.3,Cut with Feed,3.175,Face Milling
494.32,G04,X1.0000,,,,,,5.68,0.92,0,2997.892473,3.978494624,8.870967742,6.107526882,19.67741935,9.688,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
495.24,Y-31.5880,,,,,,,232.6,15.21,248.9934297,2997.612352,19.30289093,16.80814717,15.282523,22.8107753,9.688,-31.588,0,-63.176,63.176,-1.5,0,Conventional,3.2,63.2,1.5,192.98,289.47,Cut with Feed,63.176,Face Milling
